Utility,Customer Segment,2023,2024,2025,2026,2027,2028,2029,2030
PG&E,Residential General Market,0.022,0.018,0.013,0.009,0.004,0.000,0.000,0.000
PG&E,Residential Low-Income,0.090,0.072,0.054,0.036,0.018,0.000,0.000,0.000
PG&E,Residential New Home/Change of Party,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG&E,Non-Residential,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SCE,Residential General Market,0.040,0.032,0.024,0.016,0.008,0.000,0.000,0.000
SCE,Residential Low-Income,0.093,0.074,0.056,0.037,0.019,0.000,0.000,0.000
SCE,Residential New Home/Change of Party,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SCE,Non-Residential,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SDG&E,Residential General Market,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SDG&E,Residential Low-Income,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SDG&E,Residential New Home/Change of Party,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SDG&E,Non-Residential,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000